Drive,Path,Type,Size,Classification,Status,Git Remote,Notes
E,E:\Project\Master\Bakudan\bakudanramen.com-current,PROJECT,~400MB,WORK,ACTIVE,heoventure/BakudanWebsite.git,Static HTML deploy source
E,E:\Project\Master\Bakudan\dashboard.bakudanramen.com,PROJECT,~200MB,WORK,ACTIVE,liemdo28/dashboard.bakudanramen.com.git,PHP ops dashboard
E,E:\Project\Master\Bakudan\growth-dashboard,PROJECT,—,WORK,ACTIVE,liemdo28/growth-dashboard.git,Node.js marketing
E,E:\Project\Master\Bakudan\packing-list,PROJECT,—,WORK,ACTIVE,liemdo28/packing-list.git,PHP restaurant ops
E,E:\Project\Master\Bakudan\mobile_taskflow,PROJECT,—,WORK,ACTIVE,liemdo28/mobile-taskflow.git,Flutter mobile
E,E:\Project\Master\Bakudan\review-automation-system,PROJECT,—,WORK,ACTIVE,liemdo28/review-automation-system.git,Python review ops
E,E:\Project\Master\Bakudan\integration-system,PROJECT,—,WORK,ACTIVE,liemdo28/intergration-full.git,Python Toast->QB
E,E:\Project\Master\agent-coding,PROJECT,~500MB,WORK,ACTIVE,liemdo28/agent-coding.git,Node.js+Python monorepo
E,E:\Project\Master\agent-coding-api-keys,PROJECT,~120MB,WORK,ACTIVE,none,Node.js AI gateway
E,E:\Project\Master\Agent\shared-workspace,PROJECT,18MB,WORK,ACTIVE,none,Shared infra
E,E:\Project\Master\QA\qa-system,PROJECT,—,WORK,ACTIVE,liemdo28/qa-system.git,QA orchestration
E,E:\Project\Master\QA\qa_runner,PROJECT,—,WORK,ACTIVE,none,Playwright runner
E,E:\Project\Master\QA\Tester-QA,PROJECT,52MB,WORK,ACTIVE,none,Internal QA
E,E:\Project\Master\RawSushi\RawWebsite,PROJECT,31MB,WORK,ACTIVE,liemdo28/rawwebsite.git,Astro
E,E:\Project\Master\Other\LinkTreeHL,PROJECT,—,WORK,ACTIVE,liemdo28/LinkTreeHL.git,Next.js
E,E:\Project\Master\Other\phuyen-2026,PROJECT,345MB,PERSONAL/WORK,ACTIVE,liemdo28/phuyen-2026.git,Python travel bot
E,E:\Project\Master\_archive\bakudanramen.com-old-20260601,PROJECT,—,ARCHIVE,ARCHIVED,liemdo28/bakudanramen.com.git,WP archived
E,E:\Project\Master\_archive\BakudanWebsite_Sub2-20260601,PROJECT,—,ARCHIVE,ARCHIVED,liemdo28/bakudanwebsite_sub2.git,Old branch
E,E:\Project\Master\_archive\agentai-agency-merged-20260601,PROJECT,—,ARCHIVE,ARCHIVED,none,Merged into agent-coding
E,E:\Project\Master\agentai-agency,FOLDER,—,ARCHIVE,DEPRECATED,none,Windows-locked remnant
E,E:\Project\Master\packing-list,FOLDER,—,WORK,DUPLICATE,liemdo28/packing-list.git,Root copy - delete after restart
